src,dst,volume,path_nodes
18553,18553,1.0,"[18553, 11582, 10045, 10380]"
16319,16319,22.0,"[16319, 18553, 11582, 10380]"
16319,16319,90.0,"[16319, 10380]"
11582,11582,200.0,"[11582, 18553]"
11178,11178,71.0,"[11178, 16319]"
18553,18553,39.0,"[18553, 16319, 13505]"
18655,18655,200.0,"[18655, 16319]"
11582,11582,20.0,"[11582, 10045, 19555]"
18553,18553,2.0,"[18553, 11582, 10045, 11178]"
11582,11582,1.0,"[11582, 10045]"
11582,11582,1.0,"[11582, 10045, 11178]"
18553,18553,57.0,"[18553, 11582, 10045, 19555]"
18553,18553,47.0,"[18553, 16319]"
18553,18553,15.0,"[18553, 11582]"
16319,16319,1.0,"[16319, 18553, 11582, 10045, 19555]"
11582,11582,26.0,"[11582, 10380, 13505]"
18553,18553,1.0,"[18553, 11582, 10045]"
11582,11582,105.0,"[11582, 10380]"
16319,16319,57.0,"[16319, 11178]"
18553,18553,1.0,"[18553, 11582, 10045, 10380, 18655]"
13505,13505,62.0,"[13505, 18655, 16319]"
16319,16319,51.0,"[16319, 18553]"
16319,16319,63.0,"[16319, 13505]"
16319,16319,51.0,"[16319, 10045]"
16319,16319,19.0,"[16319, 18553, 11582]"
10045,10045,1.0,"[10045, 18553, 16319]"
16319,16319,28.0,"[16319, 13505, 18655]"
16319,16319,2.0,"[16319, 18553, 11582, 10380, 18655]"
